,Country,Min,Max,alloc,bins,cut_idx,day,month,year
10,Lithuania,0.000469526423441,0.0018781056937629997,0.0014555319126663996,"[0.00046812 0.00061038 0.00075124 0.0008921  0.00103296 0.00117382
 0.00131467 0.00145553 0.00159639 0.00173725 0.00187811]",7,16,2,2020
11,United Kingdom,0.000469526423441,0.0018781056937629997,0.0014555319126663996,"[0.00046812 0.00061038 0.00075124 0.0008921  0.00103296 0.00117382
 0.00131467 0.00145553 0.00159639 0.00173725 0.00187811]",7,16,2,2020
12,Austria,0.000455001770833,0.0018200070833329998,0.0014105054895829998,"[0.00045364 0.0005915  0.000728   0.0008645  0.001001   0.0011375
 0.001274   0.00141051 0.00154701 0.00168351 0.00182001]",7,16,2,2020
13,Netherlands,0.0004454159699680001,0.00178166387987,0.0013807895068994,"[0.00044408 0.00057904 0.00071267 0.00084629 0.00097992 0.00111354
 0.00124716 0.00138079 0.00151441 0.00164804 0.00178166]",7,16,2,2020
14,Australia,0.00042337953947400007,0.001693518157895,0.0013124765723686999,"[0.00042211 0.00055039 0.00067741 0.00080442 0.00093143 0.00105845
 0.00118546 0.00131248 0.00143949 0.0015665  0.00169352]",7,16,2,2020
15,France,0.00041622777274599997,0.0016649110909820002,0.0012903060955112,"[0.00041498 0.0005411  0.00066596 0.00079083 0.0009157  0.00104057
 0.00116544 0.00129031 0.00141517 0.00154004 0.00166491]",7,16,2,2020
16,Spain,0.00041527996394199996,0.0016611198557690001,0.0012873678882209002,"[0.00041403 0.00053986 0.00066445 0.00078903 0.00091362 0.0010382
 0.00116278 0.00128737 0.00141195 0.00153654 0.00166112]",7,16,2,2020
17,South Africa,0.000413892757813,0.00165557103125,0.0012830675492189,"[0.00041265 0.00053806 0.00066223 0.0007864  0.00091056 0.00103473
 0.0011589  0.00128307 0.00140724 0.0015314  0.00165557]",7,16,2,2020
18,Denmark,0.00038204328125,0.001528173125,0.0011843341718750001,"[0.0003809  0.00049666 0.00061127 0.00072588 0.0008405  0.00095511
 0.00106972 0.00118433 0.00129895 0.00141356 0.00152817]",7,16,2,2020
19,Belarus,0.00035229690656599994,0.001409187626263,0.0010921204103538998,"[0.00035124 0.00045799 0.00056368 0.00066936 0.00077505 0.00088074
 0.00098643 0.00109212 0.00119781 0.0013035  0.00140919]",7,16,2,2020
20,Croatia,0.0003408096875,0.00136323875,0.00105651003125,"[0.00033979 0.00044305 0.0005453  0.00064754 0.00074978 0.00085202
 0.00095427 0.00105651 0.00115875 0.001261   0.00136324]",7,16,2,2020
21,Italy,0.000295413099403,0.001181652397611,0.0009157806081486,"[0.00029453 0.00038404 0.00047266 0.00056128 0.00064991 0.00073853
 0.00082716 0.00091578 0.0010044  0.00109303 0.00118165]",7,16,2,2020
22,United Arab Emirates,0.00029416568882,0.001176662755282,0.0009119136353433999,"[0.00029328 0.00038242 0.00047067 0.00055891 0.00064716 0.00073541
 0.00082366 0.00091191 0.00100016 0.00108841 0.00117666]",7,16,2,2020
23,Brazil,0.00029081017736500004,0.0011632407094589999,0.0009015115498307999,"[0.00028994 0.00037805 0.0004653  0.00055254 0.00063978 0.00072703
 0.00081427 0.00090151 0.00098875 0.001076   0.00116324]",7,16,2,2020
24,Switzerland,0.000284124125,0.0011364965,0.0008807847875,"[0.00028327 0.00036936 0.0004546  0.00053984 0.00062507 0.00071031
 0.00079555 0.00088078 0.00096602 0.00105126 0.0011365 ]",7,16,2,2020
25,Azerbaijan,0.0002796403125,0.00111856125,0.00086688496875,"[0.0002788  0.00036353 0.00044742 0.00053132 0.00061521 0.0006991
 0.00078299 0.00086688 0.00095078 0.00103467 0.00111856]",7,16,2,2020
26,Slovakia,0.000274269817518,0.001097079270073,0.0008502364343064999,"[0.00027345 0.00035655 0.00043883 0.00052111 0.00060339 0.00068567
 0.00076796 0.00085024 0.00093252 0.0010148  0.00109708]",7,16,2,2020
27,Sweden,0.00023912026041699998,0.000956481041667,0.000741272807292,"[0.0002384  0.00031086 0.00038259 0.00045433 0.00052606 0.0005978
 0.00066954 0.00074127 0.00081301 0.00088474 0.00095648]",7,16,2,2020
28,Kenya,0.000227372988281,0.000909491953125,0.0007048562636718001,"[0.00022669 0.00029558 0.0003638  0.00043201 0.00050022 0.00056843
 0.00063664 0.00070486 0.00077307 0.00084128 0.00090949]",7,16,2,2020
29,Dominican Republic,0.000221044068031,0.000884176272124,0.0006852366108961,"[0.00022038 0.00028736 0.00035367 0.00041998 0.0004863  0.00055261
 0.00061892 0.00068524 0.00075155 0.00081786 0.00088418]",7,16,2,2020
30,Nigeria,0.00021955976411900004,0.000878239056475,0.0006806352687682002,"[0.0002189  0.00028543 0.0003513  0.00041716 0.00048303 0.0005489
 0.00061477 0.00068064 0.0007465  0.00081237 0.00087824]",7,16,2,2020
31,Ireland,0.00020994828125,0.000839793125,0.0006508396718749999,"[0.00020932 0.00027293 0.00033592 0.0003989  0.00046189 0.00052487
 0.00058786 0.00065084 0.00071382 0.00077681 0.00083979]",7,16,2,2020
32,Bolivia,0.000209018453264,0.000836073813056,0.0006479572051184,"[0.00020839 0.00027172 0.00033443 0.00039714 0.00045984 0.00052255
 0.00058525 0.00064796 0.00071066 0.00077337 0.00083607]",7,16,2,2020
